"valores y media","sexo","periodo","características sociodemográficas","Satisfacción con la vida","Valor de la vida","Satisfacción con el tiempo de ocio","Satisfacción con la vivienda y el entorno","Satisfacción con la economía doméstica","Estado de ánimo","Relaciones personales","Confianza en las personas","Confianza en los poderes públicos"
"Bajo","Hombre","2024","-Araba/Álava (residencia)",3.6,2.8,11.3,2.3,6.0,3.8,2.7,12.6,49.1
"Bajo","Hombre","2024","-Bizkaia (residencia)",4.8,3.5,14.5,3.8,7.6,7.0,1.8,10.4,41.0
"Bajo","Hombre","2024","-Gipuzkoa (residencia)",5.0,3.0,11.4,3.5,5.9,5.5,2.8,11.1,47.3
"Bajo","Hombre","2024","-35-49",4.7,3.7,21.4,3.6,7.2,5.6,3.1,12.9,47.5
"Bajo","Hombre","2024","-50-64",6.1,4.1,15.9,4.3,11.0,7.1,3.5,12.8,47.0
"Bajo","Hombre","2024","-Primarios ",6.9,4.7,10.6,4.4,9.9,8.6,3.4,13.7,43.5
"Bajo","Hombre","2024","-Medios generales",3.9,2.5,9.1,3.3,7.2,7.5,1.1,7.7,40.3
"Bajo","Hombre","2024","-Medios profesionales",6.4,3.7,13.0,3.5,8.6,4.6,2.3,11.1,45.0
"Bajo","Hombre","2024","-Superiores profesionales",2.9,2.2,16.3,2.1,4.3,4.4,2.3,11.3,52.2
"Bajo","Hombre","2024","-Superiores generales",2.2,1.6,16.1,3.2,2.8,3.2,1.1,7.7,40.5
"Bajo","Hombre","2024","-Ocupados",3.0,2.3,18.8,3.1,4.8,3.7,2.2,11.5,48.5
"Bajo","Hombre","2024","-Parados",14.4,6.1,8.3,5.1,31.3,12.7,3.1,12.5,47.4
"Bajo","Hombre","2024","-Inactivos",6.1,4.1,4.9,3.9,7.0,8.7,2.4,10.0,37.8
"Bajo","Mujer","2024","-Araba/Álava (residencia)",5.5,3.6,16.0,4.3,7.5,10.3,1.5,10.5,39.5
"Bajo","Mujer","2024","-Bizkaia (residencia)",4.8,3.1,15.6,5.0,9.3,9.4,1.2,11.7,37.4
"Bajo","Mujer","2024","-Gipuzkoa (residencia)",4.5,2.4,14.1,3.4,5.8,8.6,1.6,9.3,46.6
"Bajo","Mujer","2024","-35-49",5.1,2.8,25.9,5.7,9.2,11.7,2.0,14.1,43.6
"Bajo","Mujer","2024","-50-64",4.4,3.4,16.2,4.5,8.1,9.7,1.3,11.0,46.0
"Bajo","Mujer","2024","-Primarios ",6.5,4.2,11.4,4.0,10.2,10.7,2.1,13.9,38.0
"Bajo","Mujer","2024","-Medios generales",4.2,3.4,15.9,3.5,7.4,8.8,1.9,11.2,44.5
"Bajo","Mujer","2024","-Medios profesionales",3.2,3.3,17.1,7.7,7.7,9.1,2.2,11.5,41.1
"Bajo","Mujer","2024","-Superiores profesionales",5.5,2.6,17.7,5.4,6.5,9.8,0.6,12.1,49.4
"Bajo","Mujer","2024","-Superiores generales",2.9,1.1,18.8,3.9,5.6,7.3,0.2,5.5,39.7
"Bajo","Mujer","2024","-Ocupados",3.7,2.1,23.6,5.3,5.3,9.6,1.1,10.7,44.5
"Bajo","Mujer","2024","-Parados",8.7,6.1,8.0,3.3,28.1,12.4,3.1,16.5,49.3
"Bajo","Mujer","2024","-Inactivos",5.5,3.4,7.4,3.6,8.6,8.6,1.5,10.2,35.9
"Medio","Hombre","2024","-Araba/Álava (residencia)",41.0,40.5,44.9,41.4,52.3,70.9,31.2,57.5,46.4
"Medio","Hombre","2024","-Bizkaia (residencia)",39.3,36.2,42.2,41.6,47.2,65.3,38.1,56.7,53.9
"Medio","Hombre","2024","-Gipuzkoa (residencia)",38.1,34.2,43.7,43.3,44.4,67.3,34.4,52.4,47.4
"Medio","Hombre","2024","-35-49",36.1,35.4,50.3,47.4,50.1,68.7,31.9,54.0,46.9
"Medio","Hombre","2024","-50-64",42.0,37.3,47.8,42.0,50.5,68.6,38.8,57.9,46.9
"Medio","Hombre","2024","-Primarios ",40.8,38.4,37.1,41.1,48.4,62.7,38.7,56.4,50.9
"Medio","Hombre","2024","-Medios generales",39.4,37.5,45.4,42.7,43.2,67.6,37.7,48.2,53.7
"Medio","Hombre","2024","-Medios profesionales",42.3,38.2,44.5,41.2,51.4,65.8,41.0,61.9,49.5
"Medio","Hombre","2024","-Superiores profesionales",41.0,37.7,48.9,44.3,50.4,70.1,30.9,55.3,45.3
"Medio","Hombre","2024","-Superiores generales",33.2,29.6,46.0,42.1,41.5,70.8,32.0,54.2,53.8
"Medio","Hombre","2024","-Ocupados",38.6,34.0,52.1,43.4,50.3,70.7,32.2,54.4,46.0
"Medio","Hombre","2024","-Parados",45.4,53.6,37.3,47.0,53.6,65.2,50.4,58.6,48.4
"Medio","Hombre","2024","-Inactivos",39.3,37.4,30.4,39.8,41.4,61.2,39.6,56.6,57.7
"Medio","Mujer","2024","-Araba/Álava (residencia)",39.2,31.6,44.0,50.2,51.2,70.5,34.4,53.3,55.7
"Medio","Mujer","2024","-Bizkaia (residencia)",40.5,33.1,43.1,52.5,47.8,70.6,35.9,56.1,55.6
"Medio","Mujer","2024","-Gipuzkoa (residencia)",37.1,32.1,42.5,46.8,48.0,72.9,32.0,55.2,48.3
"Medio","Mujer","2024","-35-49",37.5,28.6,46.5,53.4,49.2,72.2,35.8,55.1,49.7
"Medio","Mujer","2024","-50-64",41.8,33.1,47.8,50.9,50.7,72.6,35.3,53.2,48.6
"Medio","Mujer","2024","-Primarios ",42.6,37.1,38.9,47.8,49.9,67.0,38.2,55.2,55.5
"Medio","Mujer","2024","-Medios generales",40.9,28.7,40.4,55.7,50.0,73.0,29.8,53.4,48.1
"Medio","Mujer","2024","-Medios profesionales",44.0,29.1,43.3,50.5,52.3,77.8,32.8,59.9,53.1
"Medio","Mujer","2024","-Superiores profesionales",40.0,35.0,51.8,53.5,55.1,75.7,35.8,56.1,46.6
"Medio","Mujer","2024","-Superiores generales",32.3,27.5,46.2,50.8,42.1,73.2,30.7,54.7,54.2
"Medio","Mujer","2024","-Ocupados",36.9,29.0,49.5,51.8,50.8,73.9,33.0,55.3,49.3
"Medio","Mujer","2024","-Parados",46.3,32.5,47.6,54.9,44.5,72.9,46.2,52.3,43.3
"Medio","Mujer","2024","-Inactivos",40.9,36.2,36.0,48.3,46.3,68.6,34.7,55.9,58.2
"Alto","Hombre","2024","-Araba/Álava (residencia)",55.3,56.8,43.8,56.3,41.7,25.3,66.1,29.9,4.4
"Alto","Hombre","2024","-Bizkaia (residencia)",55.9,60.3,43.3,54.6,45.2,27.7,60.1,32.9,5.1
"Alto","Hombre","2024","-Gipuzkoa (residencia)",56.8,62.8,44.9,53.2,49.7,27.2,62.8,36.5,5.3
"Alto","Hombre","2024","-35-49",59.1,60.9,28.3,48.9,42.7,25.6,65.0,33.1,5.6
"Alto","Hombre","2024","-50-64",51.9,58.5,36.3,53.7,38.5,24.2,57.7,29.3,6.1
"Alto","Hombre","2024","-Primarios ",52.3,56.9,52.3,54.5,41.7,28.7,57.9,29.9,5.7
"Alto","Hombre","2024","-Medios generales",56.7,60.0,45.4,53.9,49.6,24.8,61.2,44.0,6.0
"Alto","Hombre","2024","-Medios profesionales",51.4,58.0,42.5,55.3,40.0,29.6,56.7,27.0,5.5
"Alto","Hombre","2024","-Superiores profesionales",56.1,60.2,34.9,53.7,45.3,25.6,66.8,33.4,2.5
"Alto","Hombre","2024","-Superiores generales",64.6,68.8,37.9,54.7,55.7,26.0,67.0,38.1,5.7
"Alto","Hombre","2024","-Ocupados",58.4,63.6,29.0,53.6,44.9,25.5,65.6,34.1,5.5
"Alto","Hombre","2024","-Parados",40.2,40.3,54.4,47.9,15.1,22.1,46.5,29.0,4.2
"Alto","Hombre","2024","-Inactivos",54.6,58.5,64.7,56.4,51.6,30.1,58.0,33.4,4.5
"Alto","Mujer","2024","-Araba/Álava (residencia)",55.2,64.9,39.9,45.5,41.2,19.2,64.1,36.2,4.9
"Alto","Mujer","2024","-Bizkaia (residencia)",54.7,63.9,41.3,42.5,42.9,20.0,62.9,32.2,7.0
"Alto","Mujer","2024","-Gipuzkoa (residencia)",58.5,65.5,43.4,49.7,46.1,18.5,66.4,35.5,5.1
"Alto","Mujer","2024","-35-49",57.4,68.7,27.5,40.9,41.6,16.1,62.2,30.9,6.7
"Alto","Mujer","2024","-50-64",53.9,63.5,36.0,44.7,41.2,17.7,63.4,35.9,5.4
"Alto","Mujer","2024","-Primarios ",50.9,58.8,49.7,48.2,39.9,22.3,59.8,30.9,6.4
"Alto","Mujer","2024","-Medios generales",54.9,67.9,43.7,40.8,42.6,18.3,68.3,35.4,7.4
"Alto","Mujer","2024","-Medios profesionales",52.8,67.6,39.7,41.8,40.0,13.1,65.0,28.6,5.8
